'tain	tɛ̃
mégacoulomb	meɡakulɔ̃
mégadonnées	meɡadɔne
mégafaune	meɡafon
mégafragment	meɡafʁaɡmɑ̃
mégagramme	meɡaɡʁam
mégagray	meɡaɡʁɛj
mégahenry	meɡaɑ̃ʁi
mégahertz	meɡaɛʁts
mégajoule	meɡaʒul
mégakatal	meɡakatal
mégakelvin	meɡakɛlvɛ̃
mégalitre	meɡalitʁ
mégalomartyre	meɡalɔmaʁtiʁ
mégalope	meɡalɔp
mégalumen	meɡalymɛn
mégalux	meɡalyks
mégalésienne	meɡalezjɛn
mégamix	meɡamiks
mégamole	meɡamɔl
mégamètre	meɡamɛtʁ
mégane	meɡan
méganewton	meɡanjutɔn
mégaoctet	meɡaɔktɛ
mégaohm	meɡaom
mégaparsec	meɡapaʁsɛk
mégapascal	meɡapaskal
mégaphanérophyte	meɡafaneʁɔfit
mégaphone	meɡafɔn
mégara	meɡaʁa
mégaradian	meɡaʁadjɑ̃
mégarde	meɡaʁd
mégariche	meɡaʁiʃ
mégas	meɡɑ
mégaseconde	meɡasəɡɔ̃d
mégasiemens	meɡasimɛnz
mégasievert	meɡasivɛʁt
mégastore	meɡastɔʁ
mégastéradian	meɡasteʁadjɑ̃
mégasème	meɡazɛm
mégatesla	meɡatesla
mégavolt	meɡavɔlt
mégawatt	meɡawat
mégawattheure	meɡawatœʁ
mégaweber	meɡavebɛʁ
mégaélectronvolt	meɡaelɛktʁɔ̃vɔlt
mégenrer	meʒɑ̃ʁe
méger	meʒe
mégissier	meʒisje
mégot	meɡo
mégère	meʒɛʁ
méhaigné	meɛɲe
méhari	meaʁi
méhariste	meaʁist
méiose	mejjoz
méjuger	meʒyʒe
mél	mel
mélampyre	melɑ̃piʁ
mélancolie	melɑ̃kɔli
mélancolique	melɑ̃kɔlik
mélange	melɑ̃ʒ
mélanger	melɑ̃ʒe
mélanie	melani
mélanome	melanɔm
mélanésie	melanezi
mélasma	melasma
mélasse	melas
mélilot	melilo
mélioratif	meljɔʁatif
mélissa	melisa
mélisse	melis
mélodica	melɔdika
mélodie	melɔdi
mélodieuse	melɔdjøz
mélodieux	melɔdjø
mélodique	melɔdik
mélodramatisa	melɔdʁamatiza
mélodramatisai	melɔdʁamatize
mélodramatisaient	melɔdʁamatizɛ
mélodramatisais	melɔdʁamatizɛ
mélodramatisait	melɔdʁamatizɛ
mélodramatisant	melɔdʁamatizɑ̃
mélodramatisas	melɔdʁamatizɑ
mélodramatisasse	melɔdʁamatizas
mélodramatisassent	melɔdʁamatizas
mélodramatisasses	melɔdʁamatizas
mélodramatisassiez	melɔdʁamatizasje
mélodramatisassions	melɔdʁamatizasjɔ̃
mélodramatise	melɔdʁamatiz
mélodramatisent	melɔdʁamatiz
mélodramatisera	melɔdʁamatizʁa
mélodramatiserai	melɔdʁamatizʁe
mélodramatiseraient	melɔdʁamatizʁɛ
mélodramatiserais	melɔdʁamatizʁɛ
mélodramatiserait	melɔdʁamatizʁɛ
mélodramatiseras	melɔdʁamatizʁɑ
mélodramatiserez	melɔdʁamatizʁe
mélodramatiseriez	melɔdʁamatizəʁje
mélodramatiserions	melɔdʁamatizəʁjɔ̃
mélodramatiserons	melɔdʁamatizʁɔ̃
mélodramatiseront	melɔdʁamatizʁɔ̃
mélodramatises	melɔdʁamatiz
mélodramatisez	melɔdʁamatize
mélodramatisiez	melɔdʁamatizje
mélodramatisions	melɔdʁamatizjɔ̃
mélodramatisons	melɔdʁamatizɔ̃
mélodramatisâmes	melɔdʁamatizɑm
mélodramatisât	melɔdʁamatizɑ
mélodramatisâtes	melɔdʁamatizɑt
mélodramatisèrent	melɔdʁamatizɛʁ
mélodramatisé	melɔdʁamatize
mélomane	melɔman
mélopée	melɔpe
mélèce	melɛs
mélèze	melɛz
mémo	memo
mémoire	memwaʁ
mémorielle	memɔʁjɛl
mémère	memɛʁ
mémères	memɛʁ
mémé	meme
mémétique	memetik
ménage	menaʒ
ménager	menaʒe
ménagerie	menaʒʁi
ménagère	menaʒɛʁ
ménagères	menaʒɛʁ
ménandre	menɑ̃dʁ
ménechme	menɛkm
ménestrel	menɛstʁɛl
méninge	menɛ̃ʒ
méningite	menɛ̃ʒit
méniscale	meniskal
ménière	menjɛʁ
ménopause	menɔpoz
ménopausé	menɔpoze
ménédème	menedɛm
ménétrier	menetʁije
ménétrière	menetʁijɛʁ
méphitique	mefitik
méplat	mepla
méprendre	mepʁɑ̃dʁ
mépris	mepʁi
mépriser	mepʁize
méquitazine	mekitazin
méridional	meʁidjɔnal
méridionale	meʁidjɔnal
méridionales	meʁidjɔnal
méridionaux	meʁidjɔno
mérigon	meʁiɡɔ̃
mérinos	meʁinos
mérinos	meʁinɔs
mérion	meʁjɔ̃
mérite	meʁit
mériter	meʁite
méritoire	meʁitwaʁ
méritoires	meʁitwaʁ
méronyme	meʁɔnim
méropidé	meʁɔpide
mérovingien	meʁɔvɛ̃ʒjɛ̃
méréologie	meʁeɔlɔʒi
mérétrice	meʁetʁis
mésaise	mezɛz
mésalliance	mezaljɑ̃s
mésallier	mezalje
mésange	mezɑ̃ʒ
mésangeai	mezɑ̃ʒɛ
mésaventure	mezavɑ̃tyʁ
mésenchymateuse	mezɑ̃ʃimatøz
mésencéphale	mezɑ̃sefal
mésentente	mezɑ̃tɑ̃t
mésestimer	mezɛstime
méshui	mezɥi
mésiale	mezjal
mésinformation	mezɛ̃fɔʁmasjɔ̃
mésinformations	mezɛ̃fɔʁmasjɔ̃
mésinformer	mezɛ̃fɔʁme
mésogéenne	mezɔʒeɛn
mésolecte	mezɔlɛkt
mésomérie	mezɔmeʁi
méson	mezɔ̃
mésopause	mezɔpoz
mésoporeuse	mezopɔʁøz
mésopotamie	mezɔpɔtami
mésosphère	mezɔsfɛʁ
mésozoïque	mezozɔik
mésusage	mezyzaʒ
métaboliser	metabɔlize
métabolisme	metabɔlizm
métabolite	metabɔlit
métacarpienne	metakaʁpjɛn
métachronisme	metakʁɔnism
métadonnée	metadɔne
métairie	metɛʁi
métal	metal
métallique	metalik
métalliser	metalize
métallière	metaljɛʁ
métallogénie	metalɔʒeni
métallurgie	metalyʁʒi
métamorphiser	metamɔʁfize
métamorphose	metamɔʁfoz
métanalyse	metanaliz
métaphore	metafɔʁ
métaphorique	metafɔʁik
métaphoriquement	metafɔʁikmɑ̃
métaphoriques	metafɔʁik
métaplastique	metaplastik
métastabilité	metastabilite
métastable	metastabl
métatarse	metataʁs
métatarsien	metataʁsjɛ̃
métathèse	metatɛz
métaux	meto
métayer	meteje
métayer	metɛje
métayère	metɛjɛʁ
méteil	metɛj
métempsycose	metɑ̃psikoz
méthamphétamine	metɑ̃fetamin
méthanal	metanal
méthane	metan
méthanier	metanje
méthanisation	metanizasjɔ̃
méthaniser	metanize
méthode	metɔd
méthodologie	metɔdɔlɔʒi
méthodologiquement	metɔdɔlɔʒikmɑ̃
méthylation	metilasjɔ̃
méthylène	metilɛn
méticuleusement	metikyløzmɑ̃
métier	metje
métis	metis
métis	met͡si
métisser	metise
métissé	metise
métonique	metɔnik
métoniques	metɔnik
métonyme	metɔnim
métonymes	metɔnim
métonymie	metɔnimi
métoque	metɔk
métraduction	metʁadyksjɔ̃
métrage	metʁaʒ
métrages	metʁaʒ
métrer	metʁe
métrique	metʁik
métro	metʁo
métronome	metʁɔnɔm
métropole	metʁɔpɔl
métropolitain	metʁɔpɔlitɛ̃
métropolitainement	metʁɔpɔlitɛnmɑ̃
métrosexuel	metʁosɛksɥɛl
métèque	metɛk
météorisation	meteɔʁizasjɔ̃
météorologue	meteɔʁɔlɔɡ
météoroïde	meteɔʁɔid
mézigue	meziɡ
mêler	mele
mêler	mɛle
mêlée	mɛle
même	mɛm
même	mɛ̃ːm
mêmement	mɛmmɑ̃
mêmes	mɛm
môle	mol
môme	mom
mû	my
mûr	myʁ
mûre	myʁ
mûres	myʁ
mûrier	myʁje
mûriers	myʁje
mûrir	myʁiʁ
mûrs	myʁ
mœuf	mœf
mœurs	mœʁ
mœurs	mœʁs
n	ɛn
n'	n‿
n'a	n‿a
n'ai	n‿e
n'as	n‿ɑ
n'avait	n‿avɛ
n'avez	n‿ave
n'avons	n‿avɔ̃
n'empêche	n‿ɑ̃pɛʃ
n'en	n‿ɑ̃
n'es	n‿ɛ
n'est	n‿ɛ
n'importe	n‿ɛ̃pɔʁt
n'ont	n‿ɔ̃
n'y	n‿i
n'était	n‿etɛ
n'êtes	n‿ɛt
nabot	nabo
nacaire	nakɛʁ
nacelle	nasɛl
nacre	nakʁ
nacrer	nakʁe
nadia	nadja
nadine	nadin
nadir	nadiʁ
nadège	nadɛʒ
nage	naʒ
nageante	naʒɑ̃t
nageoire	naʒwaʁ
nager	naʒe
nahuatl	nawatl
nahuatl	naɥatl
nahum	naum
nain	nɛ̃
naine	nɛn
nais	nɛ
naissain	nɛsɛ̃
naissance	nɛsɑ̃s
naissances	nɛsɑ̃s
naissant	nɛsɑ̃
naisse	nɛs
naissent	nɛs
naissez	nɛse
naissions	nɛsjɔ̃
naissons	nɛsɔ̃
naja	naʒa
nakba	nakba
namasté	namaste
namibie	namibi
namur	namyʁ
nan	nɑ̃
nana	nana
nanami	nanami
nanar	nanaʁ
nanas	nanɑ
nancy	nansi
nancy	nɑ̃si
nandou	nɑ̃du
nankin	nɑ̃kɛ̃
nanoampère	nanɔɑ̃pɛʁ
nanobel	nanɔbɛl
nanocandela	nanɔkɑ̃dela
nanocoulomb	nanɔkulɔ̃
nanofarad	nanɔfaʁad
nanohenry	nanɔɑ̃ʁi
nanohm	nanom
nanokatal	nanɔkatal
nanomètre	nanɔmɛtʁ
nanoohm	nanɔom
nanoseconde	nanɔsəɡɔ̃d
nanostéradian	nanɔsteʁadjɑ̃
nanterre	nɑ̃tɛʁ
nantes	nɑ̃t
nanti	nɑ̃ti
nantir	nɑ̃tiʁ
nantira	nɑ̃tiʁa
nantirai	nɑ̃tiʁe
nantiraient	nɑ̃tiʁɛ
nantirais	nɑ̃tiʁɛ
nantirait	nɑ̃tiʁɛ
nantiras	nɑ̃tiʁɑ
nantirent	nɑ̃tiʁ
nantirez	nɑ̃tiʁe
nantiriez	nɑ̃tiʁje
nantirions	nɑ̃tiʁjɔ̃
nantirons	nɑ̃tiʁɔ̃
nantiront	nɑ̃tiʁɔ̃
nantis	nɑ̃ti
nantissaient	nɑ̃tisɛ
nantissais	nɑ̃tisɛ
nantissait	nɑ̃tisɛ
nantissant	nɑ̃tisɑ̃
nantisse	nɑ̃tis
nantissent	nɑ̃tis
nantisses	nɑ̃tis
nantissez	nɑ̃tise
nantissiez	nɑ̃tisje
nantissions	nɑ̃tisjɔ̃
nantissons	nɑ̃tisɔ̃
nantit	nɑ̃ti
nantîmes	nɑ̃tim
nantît	nɑ̃ti
nantîtes	nɑ̃tit
naphtaline	naftalin
naphtalène	naftalɛn
naphte	naft
naples	napl
napolitain	napɔlitɛ̃
napoléon	napɔleɔ̃
napoléone	napɔleɔn
nappe	nap
napper	nape
naquis	naki
naquisse	nakis
naquit	naki
naquît	naki
narbonne	naʁbɔn
narcisse	naʁsis
narcisus	naʁsisy
narcolepsie	naʁkɔlɛpsi
narcose	naʁkoz
narcotique	naʁkɔtik
narcotiques	naʁkɔtik
nareux	naʁø
narghilé	naʁɡile
narguer	naʁɡe
narguilé	naʁɡile
narine	naʁin
narquois	naʁkwa
narquoise	naʁkwaz
narquoises	naʁkwaz
narrer	naʁe
narval	naʁval
nasal	nazal
nasalisation	nazalizasjɔ̃
nasaliser	nazalize
nasdaq	nasdak
naseau	nazo
nasiller	nazije
nasogénienne	nazɔʒenjɛn
nasolacrymale	nazɔlakʁimal
nasse	nas
natacha	nataʃa
natal	natal
natale	natal
natales	natal
natalité	natalite
natation	natasjɔ̃
nataux	nato
natel	natɛl
natela	natɛla
nathalie	natali
nathan	natɑ̃
nathanaël	natanaɛl
natif	natif
nation	nasjɔ̃
national	nasjɔnal
nationale	nasjɔnal
nationalisais	nasjɔnalizɛ
nationalisasse	nasjɔnalizas
nationalisasses	nasjɔnalizas
nationalisme	nasjɔnalism
nationalité	nasjɔnalite
nationalités	nasjɔnalite
native	nativ
nativiser	nativize
natron	natʁɔ̃
natsuko	natsuko
natsumi	natsumi
natte	nat
natter	nate
naturalisation	natyʁalizasjɔ̃
naturaliser	natyʁalize
naturaliste	natyʁalist
naturalistes	natyʁalist
nature	natyʁ
naturel	natyʁɛl
naturellement	natyʁɛlmɑ̃
naufrage	nofʁaʒ
naufragea	nofʁaʒa
naufrageai	nofʁaʒe
naufrageaient	nofʁaʒɛ
naufrageais	nofʁaʒɛ
naufrageait	nofʁaʒɛ
naufrageant	nofʁaʒɑ̃
naufrageas	nofʁaʒɑ
naufrageasse	nofʁaʒas
naufrageassent	nofʁaʒas
naufrageasses	nofʁaʒas
naufrageassiez	nofʁaʒasje
naufrageassions	nofʁaʒasjɔ̃
naufragent	nofʁaʒ
naufrageons	nofʁaʒɔ̃
naufrager	nofʁaʒe
naufragera	nofʁaʒʁa
naufragerai	nofʁaʒʁe
naufrageraient	nofʁaʒʁɛ
naufragerais	nofʁaʒʁɛ
naufragerait	nofʁaʒʁɛ
naufrageras	nofʁaʒʁɑ
naufragerez	nofʁaʒʁe
naufrageriez	nofʁaʒəʁje
naufragerions	nofʁaʒəʁjɔ̃
naufragerons	nofʁaʒʁɔ̃
naufrageront	nofʁaʒʁɔ̃
naufragez	nofʁaʒe
naufrageâmes	nofʁaʒɑm
naufrageât	nofʁaʒɑ
naufrageâtes	nofʁaʒɑt
naufragiez	nofʁaʒje
naufragions	nofʁaʒjɔ̃
naufragèrent	nofʁaʒɛʁ
naufragé	nofʁaʒe
naufragés	nofʁaʒe
naumachie	nomaʃi
nauruan	noʁɥɑ̃
nausicaa	nozikaa
nauséabond	nozeabɔ̃
nausée	noze
nautile	notil
nautisme	notism
navajo	navaʒo
navarre	navaʁ
navarrenx	navaʁɛ̃ks
navet	navɛ
navette	navɛt
navetteur	navɛtœʁ
navigable	naviɡabl
navigant	naviɡɑ̃
navigante	naviɡɑ̃t
navigantes	naviɡɑ̃t
navigants	naviɡɑ̃
navigateur	naviɡatœʁ
navigation	naviɡasjɔ̃
navigations	naviɡasjɔ̃
navigatrice	naviɡatʁis
navigatrices	naviɡatʁis
naviguante	naviɡɑ̃t
naviguer	naviɡe
navire	naviʁ
navrance	navʁɑ̃s
navrant	navʁɑ̃
navrer	navʁe
navrure	navʁyʁ
navrures	navʁyʁ
nawak	nawak
naxalisme	naksalism
naxaliste	naksalist
nazaréen	nazaʁeɛ̃
naze	naz
nazi	nazi
nazifia	nazifja
nazifiai	nazifje
nazifiaient	nazifjɛ
nazifiais	nazifjɛ
nazifiait	nazifjɛ
nazifiant	nazifjɑ̃
nazifias	nazifjɑ
nazifiasse	nazifjas
nazifiassent	nazifjas
nazifiasses	nazifjas
nazifiassiez	nazifjasje
nazifiassions	nazifjasjɔ̃
nazification	nazifikasjɔ̃
nazifie	nazifi
nazifient	nazifi
nazifier	nazifje
nazifiera	nazifiʁa
nazifierai	nazifiʁe
nazifieraient	nazifiʁɛ
nazifierais	nazifiʁɛ
nazifierait	nazifiʁɛ
nazifieras	nazifiʁɑ
nazifierez	nazifiʁe
nazifieriez	nazifiʁje
nazifierions	nazifiʁjɔ̃
nazifierons	nazifiʁɔ̃
nazifieront	nazifiʁɔ̃
nazifies	nazifi
nazifiez	nazifje
nazifiiez	nazifije
nazifiions	nazifijɔ̃
nazifions	nazifjɔ̃
nazifiâmes	nazifjɑm
nazifiât	nazifjɑ
nazifiâtes	nazifjɑt
nazifièrent	nazifjɛʁ
nazifié	nazifje
nazisme	nazism
naît	nɛ
naître	nɛtʁ
naïade	najad
naïf	naif
naïfs	naif
naïve	naiv
naïvement	naivmɑ̃
naïves	naiv
naïveté	naivte
ndiaga	ndjaɡa
ne	nə
nectaire	nɛktɛʁ
nectar	nɛktaʁ
nef	nɛf
neige	nɛʒ
neigeoter	nɛʒɔte
neiger	neʒe
neiger	nɛʒe
neigerait	nɛʒʁɛ
nem	nɛm
nenni	nani
nenni	neni
neptune	nɛptyn
neptuneuse	nɛptynøz
neptunium	nɛptynjɔm
nerf	nɛʁ
nerfs	nɛʁ
nerprun	nɛʁpʁœ̃
nerver	nɛʁve
nerveusement	nɛʁvøzmɑ̃
nerveux	nɛʁvø
nervosisme	nɛʁvozism
nervosité	nɛʁvozite
nervure	nɛʁvyʁ
nervures	nɛʁvyʁ
nescience	nɛsjɑ̃s
net	nɛ
net	nɛt
nets	nɛt
nette	nɛt
nettes	nɛt
netteté	nɛtte
nettoiement	nɛtwamɑ̃
nettoyable	nɛtwajabl
nettoyage	nɛtwajaʒ
nettoyer	nɛtwaje
nettoyeur	nɛtwajœʁ
nettoyeuse	nɛtwajøz
neuchâtel	nøʃatɛl
neuchâtel	nøʃɑtɛl
neuchâtel	nɘʃatel
neuf	nø
neuf	nœ
neuf	nœf
neuf	nœv‿
neufs	nø
neufs	nœf
neurchi	nœʁʃi
neurochimie	nœʁɔʃimi
neurodiversité	nøʁodivɛʁsite
neurodiversité	nøʁɔdivɛʁsite
neurodiversité	nøʁɔdɪvaɛ̯ʁ̥sɪ̥te
neuromédiateur	nœʁɔmedjatœʁ
neuronale	nøʁɔnal
neurone	nøʁon
neurone	nøʁɔn
neurotoxine	nœʁɔtɔksin
neurotoxique	nœʁɔtɔksik
neurotransmetteur	nœʁɔtʁɑ̃smɛtœʁ
neurotypique	nøʁotipik
neuroïde	nøʁɔid
neutralisatrice	nøtʁalizatʁis
neutre	nøtʁ
neutrino	nøtʁino
neutroalcaline	nøtʁɔalkalin
neutron	nøtʁɔ̃
neuvaine	nœvɛn
neuve	nœv
neuvième	nœvjɛm
neuvièmes	nœvjɛm
nevers	nəvɛʁ
neveu	nəvø
neveux	nəvø
newton	njutɔn
newtonien	njutɔnjɛ̃
newtonienne	njutɔnjɛn
nez	ne
nganda	nɡɑ̃da
nganga	nɡanɡa
nguyen	nɡɥijɛn
nguyen	nɥijɛn
nguyen	ŋɥijɛn
nguyên	nɡjɛn
nguyên	nɡɥijɛn
nguyên	nɥijɛn
ni	ni
niais	njɛ
niaise	njɛz
niaisement	njɛzmɑ̃
niaiser	njɛze
niaiserie	njɛzʁi
niak	njak
niakoué	njakwe
niamey	njamɛ
niant	njɑ̃
nibard	nibaʁ
nicandre	nikɑ̃dʁ
nicaraguayen	nikaʁaɡajɛ̃
nice	nis
nicet	nisɛ
niche	niʃ
nicher	niʃe
nicheuse	niʃøz
nichoir	niʃwaʁ
nichon	niʃɔ̃
nickel	nikɛl
nickelage	nikəlaʒ
nickellement	nikɛlmɑ̃
nicodème	nikɔdɛm
nicolas	nikɔla
nicolas	nikɔlɑ
nicole	nikɔl
nicolette	nikɔlɛt
nicoline	nikɔlin
nicomaque	nikɔmak
nicosie	nikozi
nicotine	nikɔtin
nicéenne	niseɛn
nid	ni
nie	ni
nielle	njɛl
nieller	njele
nieller	njɛle
nier	nie
nier	nje
nietzschéen	nitʃeɛ̃
nigaud	niɡo
nigaudement	niɡodmɑ̃
nigauderie	niɡodʁi
niger	niʒɛʁ
nigeria	niʒɛʁja
nigérian	niʒeʁjɑ̃
nigérien	niʒeʁjɛ̃
nihilisme	niilism
nihilismes	niilism
nihiliste	niilist
nikita	nikita
nil	nil
niladique	niladik
nilgaut	nilɡo
nimbe	nɛ̃b
nimber	nɛ̃be
nina	nina
nine	nin
nini	nini
ninive	niniv
ninon	ninɔ̃
niobium	njɔbjɔm
niochon	njɔʃɔ̃
niort	njɔʁ
niortais	njɔʁtɛ
niortaise	njɔʁtɛz
niortaises	njɔʁtɛz
nioué	njue
niouéen	njueɛ̃
niqab	nikab
nique	nik
niquer	nike
nissard	nisaʁ
nissarde	nisaʁd
nitide	nitid
nitrate	nitʁat
nitre	nitʁ
nitrer	nitʁe
nitreuse	nitʁøz
nitreuses	nitʁøz
nitreux	nitʁø
nitrique	nitʁik
nitriques	nitʁik
nitrobenzine	nitʁobɛ̃zin
nitroglycérine	nitʁɔɡliseʁin
nitrogène	nitʁoʒɛn
nitrogénée	nitʁɔʒene
nitroser	nitʁoze
nival	nival
nivaux	nivo
niveau	nivo
niveler	nivle
niveleuse	nivløz
nivellement	nivɛlmɑ̃
nivernais	nivɛʁnɛ
nivernaise	nivɛʁnɛz
nivologie	nivɔlɔʒi
nivologue	nivɔlɔɡ
nivôse	nivoz
niçard	nisaʁ
niçarde	nisaʁd
niçois	niswa
nièce	njɛs
nièces	njɛs
nièvre	njɛvʁ
nié	nje
no	no
noble	nɔbl
nobles	nɔbl
noblesse	nɔblɛs
nobélium	nɔbeljɔm
noce	nɔs
noces	nɔs
noceur	nɔsœʁ
noceuse	nɔsøz
nocif	nɔsif
nocive	nɔsiv
noctambulant	nɔktɑ̃bylɑ̃
nocturne	nɔktyʁn
nodulaire	nɔdylɛʁ
nodulaires	nɔdylɛʁ
noethérienne	nøteʁjɛn
noeud	nø
nohantais	nɔɑ̃tɛ
noie	nwa
noir	nwaʁ
noirceur	nwaʁsœʁ
noirceurs	nwaʁsœʁ
noirci	nwaʁsi
noircir	nwaʁsiʁ
noircira	nwaʁsiʁa
noircirai	nwaʁsiʁe
noirciraient	nwaʁsiʁɛ
noircirais	nwaʁsiʁɛ
noircirait	nwaʁsiʁɛ
noirciras	nwaʁsiʁɑ
noircirent	nwaʁsiʁ
noircirez	nwaʁsiʁe
noirciriez	nwaʁsiʁje
noircirions	nwaʁsiʁjɔ̃
noircirons	nwaʁsiʁɔ̃
noirciront	nwaʁsiʁɔ̃
noircis	nwaʁsi
noircissaient	nwaʁsisɛ
noircissais	nwaʁsisɛ
noircissait	nwaʁsisɛ
noircissant	nwaʁsisɑ̃
noircisse	nwaʁsis
noircissent	nwaʁsis
noircisses	nwaʁsis
noircissez	nwaʁsise
noircissiez	nwaʁsisje
noircissions	nwaʁsisjɔ̃
noircissons	nwaʁsisɔ̃
noircit	nwaʁsi
noircîmes	nwaʁsim
noircît	nwaʁsi
noircîtes	nwaʁsit
noire	nwaʁ
noires	nwaʁ
noirette	nwaʁɛt
noirs	nwaʁ
noirâtre	nwaʁɑtʁ
noise	nwaz
noisetier	nwaztje
noisetier	nwazətje
noisette	nwazɛt
noix	nwɑ
nom	nõʊ̯̃
nom	nɔ̃
nomade	nɔmad
nombre	nɔ̃bʁ
nombres	nɔ̃bʁ
nombreusement	nɔ̃bʁøzmɑ̃
nombreux	nɔ̃bʁø
nombril	nɔ̃bʁi
nombril	nɔ̃bʁil
nomenclature	nɔmɑ̃klatyʁ
nomina	nɔmina
nominal	nɔminal
nominale	nɔminal
nominalisation	nɔminalizasjɔ̃
nominaliser	nɔminalize
nominatif	nɔminatif
nominative	nɔminativ
nominer	nɔmine
nommer	nɔme
nommément	nɔmemɑ̃
non	nɔ̃
nonagénaire	nɔnaʒenɛʁ
nonante	nɔnɑ̃t
nonantième	nɔnɑ̃tjɛm
nonce	nɔ̃s
nonchalamment	nɔ̃ʃalamɑ̃
nonchalance	nɔ̃ʃalɑ̃s
nonciature	nɔ̃sjatyʁ
nonidi	nɔnidi
nonilliard	nɔniljaʁ
nonnain	nɔnɛ̃
nonne	nɔn
nonnes	nɔn
nonnette	nɔnɛt
nono	nono
nonobstant	nɔnɔpstɑ̃
nooanaleptique	nɔɔanalɛptik
noosphère	noosfɛʁ
noosphère	nɔɔsfɛʁ
nope	nɔp
norbert	nɔʁbɛʁ
nord	nɔʁ
nordestine	nɔʁdɛstin
nordique	nɔʁdik
norgeat	nɔʁʒa
noria	nɔʁja
noriko	nɔʁiko
normal	nɔʁmal
normale	nɔʁmal
normalement	nɔʁmalmɑ̃
normalien	nɔʁmaljɛ̃
normalisation	nɔʁmalizasjɔ̃
normalité	nɔʁmalite
normalités	nɔʁmalite
normand	nɔʁmɑ̃
normande	nɔʁmɑ̃d
normandes	nɔʁmɑ̃d
normandie	nɔʁmɑ̃di
normands	nɔʁmɑ̃
normatif	nɔʁmatif
normativisation	nɔʁmativizasjɔ̃
normativisations	nɔʁmativizasjɔ̃
normativiser	nɔʁmativize
normer	nɔʁme
norne	nɔʁn
norrois	nɔʁwa
norvège	nɔʁvɛʒ
norvégien	nɔʁveʒjɛ̃
nos	no
nosocomial	nɔzɔkɔmjal
nosode	nozɔd
nosologie	nozɔlɔʒi
nosseigneurs	nosɛɲœʁ
nostalgie	nɔstalʒi
nostalgique	nɔstalʒik
nostre	nɔtʁ
nosémose	nozemoz
notable	nɔtabl
notaire	nɔtɛʁ
notamment	nɔtamɑ̃
notation	nɔtasjɔ̃
note	nɔt
noter	nɔte
notera	nɔtʁa
notion	nɔsjɔ̃
notocordale	nɔtɔkɔʁdal
notoire	nɔtwaʁ
notoirement	nɔtwaʁmɑ̃
notre	nɔtʁ
notredit	nɔtʁədi
nouba	nuba
noue	nu
nouent	nwɑ̃
nouer	nue
nouer	nwe
noues	nu
noueuse	nwøz
noueux	nwø
nougat	nuɡa
nouille	nuj
nouméa	numea
nouméenne	numeɛn
noune	nun
nounou	nunu
nounours	nunuʁs
nourri	nuʁi
nourrice	nuʁis
nourrir	nuʁiʁ
nourrisson	nuʁisɔ̃
nourriture	nuʁityʁ
nourritures	nuʁityʁ
nous	nu
nous	nuz‿
nouveau	nuvo
nouveauté	nuvote
nouveaux	nuvo
nouvel	nuvɛl
nouvelle	nuvɛl
nouvelles	nuvɛl
nouvelliste	nuvɛlist
nouâmes	nwɑm
novateur	nɔvatœʁ
novembre	nɔvɑ̃bʁ
nover	nɔve
novice	nɔvis
novlangue	nɔvlɑ̃ɡ
novossibirsk	nɔvɔsibiʁsk
novotestamentaire	nɔvɔtɛstamɑ̃tɛʁ
noyade	nwajad
noyau	nwajo
noyautage	nwajotaʒ
noyauter	nwajote
noyer	nwaje
noyeraie	nwajʁɛ
noé	nɔe
noémi	noemi
noémi	nɔemi
noémie	nɔemi
noël	nɔɛl
noëlle	nɔɛl
npd	ɛnpede
nu	ny
nuage	nyaʒ
nuage	nɥaʒ
nuages	nɥaʒ
nuageux	nɥaʒø
nuance	nɥɑ̃s
nuancément	nɥɑ̃semɑ̃
nubile	nybil
nucale	nykal
nucléaire	nykleɛʁ
nucléosome	nykleozɔm
nucléoïde	nykleɔid
nucléée	nyklee
nudisme	nydism
nudiste	nydist
nudité	nydite
nudités	nydite
nue	ny
nuement	nymɑ̃
nui	nɥi
nuire	nɥiʁ
nuisance	nɥizɑ̃s
nuisette	nɥizɛt
nuisettes	nɥizɛt
nuisible	nɥizibl
nuit	nwi
nuit	nɥi
nuit	nɥit
nuitamment	nɥitamɑ̃
nuitée	nɥite
nul	nyl
nulle	nyl
nullement	nylmɑ̃
nullification	nylifikasjɔ̃
nullité	nylite
nuls	nyl
numide	nymid
numidie	nymidi
numidique	nymidik
numéraire	nymeʁɛʁ
numéral	nymeʁal
numérique	nymeʁik
numérisa	nymeʁiza
numérisai	nymeʁize
numérisaient	nymeʁizɛ
numérisais	nymeʁizɛ
numérisait	nymeʁizɛ
numérisant	nymeʁizɑ̃
numérisas	nymeʁizɑ
numérisasse	nymeʁizas
numérisassent	nymeʁizas
numérisasses	nymeʁizas
numérisassiez	nymeʁizasje
numérisassions	nymeʁizasjɔ̃
numérisation	nymeʁizasjɔ̃
numérise	nymeʁiz
numérisent	nymeʁiz
numériser	nymeʁize
numérisera	nymeʁizʁa
numériserai	nymeʁizʁe
numériseraient	nymeʁizʁɛ
numériserais	nymeʁizʁɛ
numériserait	nymeʁizʁɛ
numériseras	nymeʁizʁɑ
numériserez	nymeʁizʁe
numériseriez	nymeʁizəʁje
numériserions	nymeʁizəʁjɔ̃
numériserons	nymeʁizʁɔ̃
numériseront	nymeʁizʁɔ̃
numérises	nymeʁiz
numériseur	nymeʁizœʁ
